Number,NumberInFile,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,ImageNumber,Concentration,Channel
11,11,1064,3626.797,548.161,1888,4864,134.117,29.01,134.178,29.429,117.975,117,8,33,41,41.631,32.542,74.915,0.961,42.379,3858912,3664,-0.433,0.048,100,3858912,1,128,49,70.71,32.888,1.279,0.782,0.981,2673,3e-06,n
12,12,712,3005.326,439.4,1840,4000,948.923,29.107,948.913,28.866,95.476,934,13,29,31,31.135,29.116,74.167,0.982,31.78,2139792,3072,-0.264,-0.589,100,2139792,1,947,13,102.724,29.0,1.069,0.935,0.981,2673,3e-06,n
13,13,958,3463.482,478.25,1968,4592,45.971,34.367,46.129,34.329,111.446,28,17,35,35,38.646,31.562,45.303,0.969,39.205,3318016,3520,-0.483,-0.021,100,3318016,1,30,46,37.747,31.82,1.224,0.817,0.982,2673,3e-06,n
14,14,1120,3168.414,516.84,1824,4496,566.601,41.675,566.857,41.811,121.398,549,21,35,42,43.516,32.77,67.037,0.955,43.417,3548624,3168,-0.165,-0.403,100,3548624,1,556,61,61.074,32.888,1.328,0.753,0.982,2673,3e-06,n
15,15,746,2851.217,449.752,1632,3840,459.536,38.7,459.856,38.325,98.477,443,23,31,32,33.05,28.739,52.259,0.967,33.838,2127008,2848,-0.183,-0.664,100,2127008,1,445,47,34.16,28.983,1.15,0.87,0.974,2673,3e-06,n
16,16,821,3030.178,579.14,1504,4528,852.651,42.442,852.303,43.12,103.066,835,27,34,31,34.686,30.137,34.958,0.971,35.511,2487776,3040,-0.0008534,-0.731,100,2487776,1,837,51,32.347,30.858,1.151,0.869,0.979,2673,3e-06,n
17,17,1033,3614.823,479.747,1952,4896,779.71,48.396,779.795,48.653,115.717,760,31,39,34,40.685,32.328,24.984,0.969,41.629,3734112,3632,-0.571,0.886,100,3734112,1,761,58,24.102,32.647,1.259,0.795,0.986,2673,3e-06,n
18,18,860,2734.363,395.522,1488,3568,915.344,62.334,915.502,62.717,107.205,900,43,30,38,39.362,27.818,112.568,0.94,39.925,2351552,2800,-0.591,-0.191,100,2351552,1,909,43,112.068,28.174,1.415,0.707,0.978,2673,3e-06,n
19,19,757,2684.618,330.903,1680,3488,292.495,60.602,292.591,60.597,98.709,278,45,30,32,32.508,29.649,89.162,0.976,33.242,2032256,2688,-0.043,-0.398,100,2032256,1,286,45,105.709,29.981,1.096,0.912,0.981,2673,3e-06,n
20,20,980,3325.012,547.562,1808,5120,1039.39,62.429,1039.192,62.477,112.496,1020,46,38,33,39.057,31.948,153.438,0.973,39.825,3258512,3264,0.12,-0.102,100,3258512,1,1021,54,151.504,32.647,1.223,0.818,0.98,2673,3e-06,n
21,21,673,3095.774,551.9,1648,4368,960.188,62.675,959.755,63.058,93.408,944,49,31,29,30.446,28.145,163.57,0.969,31.575,2083456,3104,-0.118,-0.782,100,2083456,1,944,58,169.046,28.991,1.082,0.924,0.971,2673,3e-06,n
22,22,780,2914.646,444.976,1840,4112,391.7,70.282,391.601,70.368,100.934,375,55,33,31,36.056,27.544,40.137,0.962,36.62,2273424,2880,0.172,-0.312,100,2273424,1,377,81,34.992,27.577,1.309,0.764,0.983,2673,3e-06,n
23,23,746,2897.887,446.228,1680,3920,334.279,72.088,334.416,72.291,97.661,319,57,30,30,32.613,29.124,46.031,0.983,33.422,2161824,2928,-0.214,-0.66,100,2161824,1,322,84,38.928,29.698,1.12,0.893,0.987,2673,3e-06,n
24,24,681,5607.26,1499.725,2448,8624,522.617,70.377,522.755,70.026,95.371,506,57,32,27,33.386,25.971,25.84,0.941,34.205,3818544,5776,-0.151,-1.091,100,3818544,1,510,82,37.875,27.0,1.285,0.778,0.971,2673,3e-06,n
25,25,760,2783.558,371.492,1568,3664,463.147,76.945,463.399,76.98,100.527,449,59,27,36,36.67,26.389,73.806,0.945,37.643,2115504,2800,-0.357,0.008,100,2115504,1,458,95,73.009,27.0,1.39,0.72,0.98,2673,3e-06,n
26,26,1129,3811.415,713.132,1824,5280,684.867,78.398,685.888,78.979,121.342,665,60,40,37,41.281,34.822,31.38,0.964,43.046,4303088,3824,-0.289,-0.475,100,4303088,1,667,89,30.735,35.355,1.186,0.844,0.977,2673,3e-06,n
27,27,1033,3670.459,633.342,2016,5008,1232.788,80.284,1233.02,80.521,115.16,1215,61,35,38,39.261,33.5,57.811,0.979,39.699,3791584,3648,-0.274,-0.566,100,3791584,1,1219,95,49.086,33.8,1.172,0.853,0.982,2673,3e-06,n
28,28,638,2555.561,444.93,1632,4304,707.533,85.124,706.761,85.778,115.708,689,63,31,42,46.58,17.44,64.501,0.599,46.065,1630448,2512,0.607,0.602,100,1630448,1,693,104,62.879,20.741,2.671,0.374,0.788,2673,3e-06,n
29,29,968,3734.446,541.302,2000,5168,91.092,86.87,91.382,86.98,111.495,72,70,38,33,38.205,32.26,164.347,0.979,38.833,3614944,3760,-0.341,0.164,100,3614944,1,72,83,168.111,32.647,1.184,0.844,0.984,2673,3e-06,n
30,30,931,3023.588,435.419,1824,4272,864.668,86.285,864.668,86.274,109.01,847,70,35,33,35.551,33.344,150.547,0.985,36.125,2814960,3024,-0.004,-0.052,100,2814960,1,853,72,131.634,33.0,1.066,0.938,0.984,2673,3e-06,n
31,31,862,3771.36,618.871,2096,5024,133.365,101.711,133.489,101.623,105.334,117,84,32,35,35.572,30.854,114.513,0.976,35.847,3250912,3872,-0.431,-0.602,100,3250912,1,127,85,112.989,30.858,1.153,0.867,0.978,2673,3e-06,n
32,32,812,2667.921,312.65,1664,3424,436.05,113.291,435.822,113.141,106.279,423,93,26,39,40.268,25.675,92.026,0.903,39.812,2166352,2704,-0.425,0.045,100,2166352,1,432,93,101.592,25.871,1.568,0.638,0.977,2673,3e-06,n
33,33,783,2855.172,677.527,1408,4544,767.298,113.131,767.206,114.347,101.736,752,95,29,35,35.366,28.19,110.984,0.951,36.139,2235600,2800,0.224,-0.743,100,2235600,1,765,95,104.421,28.777,1.255,0.797,0.976,2673,3e-06,n
34,34,1079,3455.585,519.698,2016,4752,1103.753,115.365,1103.552,115.072,117.149,1085,97,37,37,37.729,36.413,149.001,0.988,38.484,3728576,3504,-0.133,-0.279,100,3728576,1,1086,107,155.433,36.672,1.036,0.965,0.98,2673,3e-06,n
35,35,794,2664.383,448.118,1520,3568,409.132,118.49,409.969,118.434,102.582,394,100,29,36,36.756,27.505,69.867,0.948,37.643,2115520,2624,-0.092,-0.671,100,2115520,1,404,136,73.009,28.174,1.336,0.748,0.976,2673,3e-06,n
36,36,1083,3292.233,458.302,1776,4624,835.794,120.456,836.255,120.658,119.561,817,101,39,37,41.78,33.004,144.254,0.952,42.012,3565488,3328,-0.428,0.266,100,3565488,1,822,104,128.234,32.86,1.266,0.79,0.982,2673,3e-06,n
37,37,1012,3974.735,646.136,2128,5648,591.48,116.896,591.643,117.077,117.883,569,103,43,29,44.449,28.989,166.782,0.915,44.643,4022432,3984,-0.134,-0.228,100,4022432,1,569,111,164.407,29.0,1.533,0.652,0.983,2673,3e-06,n
38,38,893,3587.583,542.082,2032,5184,1012.924,122.384,1012.723,122.479,108.061,996,105,34,34,37.944,29.965,131.983,0.961,39.205,3203712,3600,-0.186,-0.104,100,3203712,1,1001,107,127.747,30.406,1.266,0.79,0.982,2673,3e-06,n
39,39,698,3042.361,433.463,1776,4016,950.046,122.807,950.184,122.998,95.007,935,107,29,31,31.695,28.04,69.563,0.972,32.573,2123568,3104,-0.52,-0.139,100,2123568,1,945,138,72.121,28.622,1.13,0.885,0.976,2673,3e-06,n
40,40,1006,3377.161,511.817,1840,4672,15.298,131.143,15.7,131.162,114.478,0,113,32,37,37.996,33.711,83.301,0.965,38.288,3397424,3408,-0.23,-0.424,100,3397424,1,2,146,49.236,32.0,1.127,0.887,0.989,2673,3e-06,n
41,41,733,2873.015,502.94,1648,4160,316.245,136.565,316.582,136.346,97.687,301,121,29,32,33.233,28.083,68.453,0.965,34.482,2105920,2848,0.055,-0.54,100,2105920,1,309,152,60.461,28.991,1.183,0.845,0.981,2673,3e-06,n
42,42,656,3040.341,546.401,1792,4240,374.854,147.738,374.736,147.331,96.654,363,130,25,35,36.664,22.781,105.984,0.882,36.688,1994464,3008,0.015,-0.971,100,1994464,1,367,130,107.447,22.798,1.609,0.621,0.978,2673,3e-06,n
43,43,915,3017.163,384.007,1712,3904,751.676,152.192,751.695,152.42,110.33,732,137,38,31,40.19,28.988,155.322,0.945,40.853,2760704,3040,-0.553,0.375,100,2760704,1,732,146,158.459,29.516,1.386,0.721,0.98,2673,3e-06,n
44,44,725,2875.211,563.918,1600,4128,346.757,153.232,347.086,152.375,96.431,332,138,29,31,31.99,28.856,64.655,0.98,33.015,2084528,2944,-0.267,-0.772,100,2084528,1,337,167,54.866,29.0,1.109,0.902,0.982,2673,3e-06,n
45,45,980,3919.249,693.074,2160,5408,1216.13,156.091,1216.409,156.361,111.604,1198,139,36,34,36.817,33.891,27.124,0.989,37.216,3840864,3936,-0.161,-0.682,100,3840864,1,1200,166,30.7,33.941,1.086,0.921,0.986,2673,3e-06,n
46,46,874,2524.229,284.514,1456,3376,557.111,164.66,557.26,164.89,108.474,538,150,39,29,39.354,28.277,7.442,0.933,39.623,2206176,2544,-0.385,0.924,100,2206176,1,538,170,10.176,28.709,1.392,0.719,0.975,2673,3e-06,n
47,47,1215,3146.193,421.701,1792,4560,1019.862,171.145,1019.904,171.217,125.014,1001,151,37,42,42.64,36.28,112.506,0.977,43.658,3822624,3152,-0.02,0.068,100,3822624,1,1012,151,110.095,36.77,1.175,0.851,0.986,2673,3e-06,n
48,48,1234,3251.592,411.924,1760,4304,896.664,172.591,896.567,172.702,126.079,876,153,41,39,42.975,36.56,142.261,0.976,43.6,4012464,3280,-0.499,0.679,100,4012464,1,878,161,143.393,36.77,1.175,0.851,0.981,2673,3e-06,n
49,49,742,2782.102,397.687,1760,3632,1141.098,167.677,1141.104,167.643,99.613,1124,153,34,29,36.685,25.753,32.583,0.94,37.216,2064320,2816,-0.249,-0.666,100,2064320,1,1125,178,30.7,26.386,1.425,0.702,0.981,2673,3e-06,n
50,50,998,2312.273,299.367,1520,3168,663.119,172.198,662.802,172.78,115.274,644,154,38,36,42.443,29.939,40.452,0.944,42.19,2307648,2320,0.054,-0.288,100,2307648,1,645,184,31.43,29.698,1.418,0.705,0.985,2673,3e-06,n
51,51,927,3911.042,707.57,1904,5952,284.115,189.085,284.237,189.779,109.184,267,171,34,36,36.028,32.76,117.346,0.977,37.108,3625536,3904,0.007,-0.103,100,3625536,1,281,171,104.036,33.234,1.1,0.909,0.978,2673,3e-06,n
52,52,658,2873.897,403.731,1760,4272,594.775,187.815,594.345,188.361,94.292,579,173,29,33,30.947,27.072,84.257,0.93,33.734,1891024,2896,-0.025,0.225,100,1891024,1,593,206,78.024,28.46,1.143,0.875,0.97,2673,3e-06,n
53,53,1310,3304.134,455.746,1856,4720,980.537,194.6,980.82,194.833,131.519,959,174,43,41,46.976,35.506,141.859,0.952,47.634,4328416,3312,-0.167,0.118,100,4328416,1,963,178,140.964,36.062,1.323,0.756,0.979,2673,3e-06,n
54,54,870,4026.998,608.482,2080,5520,231.99,197.582,232.275,197.686,105.996,216,180,33,34,35.075,31.581,119.431,0.973,35.735,3503488,4064,-0.434,-0.087,100,3503488,1,227,180,107.928,31.752,1.111,0.9,0.982,2673,3e-06,n
55,55,374,4378.695,938.689,2304,6176,149.225,191.89,149.32,191.995,70.256,137,181,24,22,23.534,20.234,19.46,0.952,24.331,1637632,4592,-0.389,-0.913,100,1637632,1,137,193,9.462,20.426,1.163,0.86,0.963,2673,3e-06,n
56,56,798,2830.937,463.221,1520,3984,340.209,200.799,340.685,201.396,101.496,324,185,33,31,35.136,28.918,144.569,0.973,35.228,2259088,2864,-0.137,-0.351,100,2259088,1,326,190,145.408,28.991,1.215,0.823,0.99,2673,3e-06,n
57,57,649,3184.764,468.638,1872,4464,575.106,202.184,575.503,202.152,95.498,559,186,33,30,31.983,25.836,130.224,0.894,33.377,2066912,3232,-0.341,0.161,100,2066912,1,559,202,171.384,25.626,1.238,0.808,0.957,2673,3e-06,n
58,58,926,2406.773,325.955,1472,3616,494.468,208.248,494.284,208.497,113.987,480,188,30,42,43.987,26.804,70.087,0.896,43.681,2228672,2416,0.073,-0.124,100,2228672,1,489,230,74.055,27.622,1.641,0.609,0.978,2673,3e-06,n
59,59,751,2733.145,417.659,1712,3824,1238.207,203.596,1238.598,204.039,98.451,1222,188,32,30,32.189,29.706,9.261,0.974,32.757,2052592,2720,0.019,-0.653,100,2052592,1,1222,210,12.339,30.0,1.084,0.923,0.979,2673,3e-06,n
60,60,818,2760.724,455.826,1552,3936,467.238,207.896,467.237,208.252,104.515,453,189,27,38,38.247,27.231,96.691,0.941,38.471,2258272,2768,0.0008354,-0.417,100,2258272,1,466,189,98.973,27.0,1.405,0.712,0.977,2673,3e-06,n
61,61,89,2699.865,412.281,1744,3312,1276.68,200.938,1276.756,201.312,46.636,1273,190,6,22,19.63,5.773,90.315,0.514,22.0,240288,2752,-0.531,-0.568,100,240288,1,1278,190,90.0,6.0,3.4,0.294,0.913,2673,3e-06,n
62,62,731,3143.354,521.115,1728,4624,865.668,209.44,865.505,209.822,98.416,849,195,33,29,36.14,25.754,148.12,0.948,36.359,2297792,3168,-0.142,-0.096,100,2297792,1,850,200,148.496,26.071,1.403,0.713,0.981,2673,3e-06,n
63,63,829,2598.543,382.236,1552,3632,1187.078,214.008,1186.904,214.689,104.319,1171,197,31,35,34.494,30.6,75.081,0.957,36.139,2154192,2624,-0.101,-0.134,100,2154192,1,1183,232,75.579,31.0,1.127,0.887,0.976,2673,3e-06,n
64,64,801,2673.119,528.319,1328,3856,676.519,227.016,677.155,227.669,103.397,662,209,28,37,37.345,27.309,80.565,0.942,38.079,2141168,2736,-0.362,-0.601,100,2141168,1,672,246,76.329,28.0,1.367,0.731,0.974,2673,3e-06,n
65,65,1052,2734.525,323.309,1680,3488,727.07,230.772,727.087,231.155,121.94,709,209,34,43,45.92,29.169,60.086,0.889,47.707,2876720,2736,-0.31,0.015,100,2876720,1,715,250,56.976,29.963,1.574,0.635,0.972,2673,3e-06,n
66,66,264,5758.606,1576.646,2736,8896,145.992,225.212,145.99,225.326,60.327,135,217,22,16,22.08,15.223,167.105,0.912,22.091,1520272,5856,-0.05,-1.012,100,1520272,1,135,227,5.194,14.795,1.45,0.689,0.96,2673,3e-06,n
67,67,1197,3340.217,536.973,1888,4656,1073.572,238.079,1073.747,237.97,123.708,1054,219,39,39,39.478,38.605,127.521,0.983,40.311,3998240,3392,-0.108,-0.45,100,3998240,1,1056,227,150.255,38.891,1.023,0.978,0.986,2673,3e-06,n
68,68,813,2632.364,352.077,1536,3424,793.972,241.077,794.088,241.397,102.943,780,223,28,36,36.758,28.161,82.797,0.964,37.108,2140112,2640,-0.162,-0.312,100,2140112,1,788,259,75.964,28.0,1.305,0.766,0.985,2673,3e-06,n
69,69,804,2842.945,511.101,1760,4240,1163.259,241.496,1163.373,240.987,102.582,1149,223,28,37,36.568,27.994,88.142,0.96,37.336,2285728,2800,0.256,-0.691,100,2285728,1,1161,223,97.696,28.0,1.306,0.766,0.979,2673,3e-06,n
70,70,927,2453.506,339.616,1504,3280,358.062,243.476,357.781,244.283,113.599,341,224,34,40,43.474,27.149,53.506,0.903,43.909,2274400,2464,-0.18,-0.523,100,2274400,1,348,263,59.931,27.577,1.601,0.624,0.98,2673,3e-06,n
71,71,734,2843.728,539.268,1568,4480,1213.525,242.702,1214.629,242.126,101.815,1194,229,38,27,39.841,23.457,20.264,0.89,39.85,2087296,2768,0.5,-0.125,100,2087296,1,1194,248,17.526,23.583,1.698,0.589,0.975,2673,3e-06,n
72,72,696,2985.54,438.846,1648,3968,837.684,255.207,837.817,255.274,94.504,823,240,29,31,32.124,27.586,55.419,0.979,32.802,2077936,3040,-0.575,-0.172,100,2077936,1,827,268,52.431,27.577,1.165,0.859,0.979,2673,3e-06,n
73,73,761,2806.707,460.298,1568,4032,404.093,258.592,404.063,258.778,100.582,388,242,31,33,36.358,26.65,55.302,0.945,36.62,2135904,2800,0.015,-0.282,100,2135904,1,394,274,55.008,26.833,1.364,0.733,0.976,2673,3e-06,n
74,74,767,2926.227,437.586,1712,4160,306.448,259.81,306.681,259.922,99.818,291,243,30,33,34.681,28.159,60.468,0.967,35.511,2244416,2928,-0.047,-0.396,100,2244416,1,296,274,57.653,28.8,1.232,0.812,0.976,2673,3e-06,n
75,75,731,2919.311,407.316,1680,3824,455.853,269.314,456.161,269.477,99.287,440,253,31,33,37.14,25.06,128.289,0.932,37.443,2134016,2976,-0.577,-0.223,100,2134016,1,445,254,124.114,25.456,1.482,0.675,0.979,2673,3e-06,n
76,76,947,2410.256,293.8,1600,3232,543.273,271.78,543.198,271.884,111.639,526,253,33,37,38.985,30.929,61.284,0.955,40.311,2282512,2400,-0.086,-0.214,100,2282512,1,532,288,60.255,31.305,1.26,0.793,0.976,2673,3e-06,n
77,77,615,3211.499,466.133,1904,4256,1238.412,266.188,1238.347,266.505,89.843,1223,253,31,25,31.136,25.149,174.262,0.957,31.623,1975072,3280,-0.599,-0.161,100,1975072,1,1224,261,161.565,25.0,1.238,0.808,0.978,2673,3e-06,n
78,78,61,2799.738,449.469,1936,3552,1277.123,273.189,1277.226,273.363,39.937,1274,263,5,19,16.698,4.651,87.671,0.481,19.0,170784,2816,-0.191,-1.081,100,170784,1,1278,263,90.0,5.0,3.59,0.279,0.897,2673,3e-06,n
79,79,986,3309.955,574.565,1584,4656,75.835,287.553,76.115,288.145,115.942,58,269,36,38,43.201,29.06,50.705,0.922,43.278,3263616,3392,-0.568,-0.065,100,3263616,1,58,301,40.314,28.991,1.487,0.673,0.988,2673,3e-06,n
80,80,979,3955.269,574.697,2144,5184,946.772,291.541,946.877,291.635,113.854,930,272,33,40,41.291,30.188,113.31,0.949,41.629,3872208,4032,-0.552,0.065,100,3872208,1,937,273,114.102,30.411,1.368,0.731,0.976,2673,3e-06,n
81,81,799,4541.737,821.434,2352,6304,638.528,294.509,638.864,294.524,105.395,624,277,29,34,36.132,28.155,65.341,0.904,36.892,3628848,4624,-0.329,-0.125,100,3628848,1,628,310,57.171,28.708,1.283,0.779,0.962,2673,3e-06,n
82,82,632,3152.304,481.656,1904,4112,1255.94,294.089,1255.277,293.859,93.812,1239,281,33,27,36.096,22.293,147.012,0.902,36.715,1992256,3200,-0.346,-0.652,100,1992256,1,1239,285,150.642,22.627,1.619,0.618,0.981,2673,3e-06,n
83,83,847,2753.643,370.035,1728,3648,1227.67,303.178,1227.691,303.23,107.609,1212,285,33,35,39.994,26.965,130.41,0.919,40.224,2332336,2752,-0.116,-0.27,100,2332336,1,1217,286,124.875,27.33,1.483,0.674,0.987,2673,3e-06,n
84,84,711,2965.243,515.254,1568,4192,418.214,304.292,417.972,304.661,96.586,400,291,35,26,34.555,26.198,1.842,0.958,35.228,2108288,2960,-0.085,-0.651,100,2108288,1,400,305,6.52,26.0,1.319,0.758,0.976,2673,3e-06,n
85,85,985,3845.23,605.732,2016,5744,585.663,310.94,585.982,310.955,113.035,569,292,32,39,39.003,32.155,86.288,0.969,39.319,3787552,3840,-0.187,0.172,100,3787552,1,581,292,97.306,32.0,1.213,0.824,0.977,2673,3e-06,n
86,86,850,2438.626,241.596,1712,3024,335.989,310.358,335.893,310.309,105.134,320,293,31,35,36.813,29.399,70.161,0.966,37.59,2072832,2448,-0.189,-0.269,100,2072832,1,327,327,61.39,29.725,1.252,0.799,0.977,2673,3e-06,n
87,87,808,2751.683,383.22,1760,3760,999.343,315.161,999.314,315.193,101.818,983,299,32,32,34.545,29.781,132.662,0.979,35.228,2223360,2768,-0.11,-0.245,100,2223360,1,989,301,124.592,30.2,1.16,0.862,0.98,2673,3e-06,n
88,88,20,2273.6,219.19,1840,2592,316.25,311.9,316.284,311.923,15.791,313,310,6,4,5.908,4.31,5.405,1.0,6.325,45472,2368,-0.476,-0.843,100,45472,1,313,311,161.565,4.0,1.371,0.73,0.952,2673,3e-06,n
89,89,937,4088.179,657.952,2176,5632,884.743,336.141,884.488,335.966,109.439,868,318,33,36,36.456,32.725,112.372,0.983,37.336,3830624,4144,-0.155,-0.4,100,3830624,1,877,319,110.376,33.0,1.114,0.898,0.984,2673,3e-06,n
90,90,815,2843.681,419.43,1696,3968,703.856,337.958,703.944,337.997,102.693,688,321,31,34,35.595,29.153,63.181,0.971,36.056,2317600,2864,-0.103,-0.478,100,2317600,1,697,355,70.56,29.069,1.221,0.819,0.982,2673,3e-06,n
91,91,1064,3973.038,561.908,2080,5536,776.598,349.802,776.704,349.685,117.567,759,329,34,41,40.687,33.296,82.969,0.967,41.437,4227312,4016,-0.322,0.114,100,4227312,1,772,370,81.674,33.928,1.222,0.818,0.977,2673,3e-06,n
92,92,797,4205.631,634.477,2176,5504,632.432,345.383,632.738,345.616,101.297,616,330,32,32,34.32,29.568,45.479,0.976,35.0,3351888,4224,-0.531,0.059,100,3351888,1,623,360,53.13,29.698,1.161,0.862,0.982,2673,3e-06,n
93,93,974,3698.661,622.005,1984,5264,1217.091,349.317,1217.488,349.354,112.567,1201,330,32,39,39.07,31.741,93.258,0.966,39.294,3602496,3728,-0.25,-0.425,100,3602496,1,1213,330,104.744,32.0,1.231,0.812,0.974,2673,3e-06,n
94,94,752,2848.447,440.644,1664,3824,1063.795,357.436,1063.975,357.672,100.978,1050,340,27,36,37.293,25.674,80.305,0.927,37.363,2142032,2880,-0.252,-0.518,100,2142032,1,1059,376,74.476,26.083,1.453,0.688,0.972,2673,3e-06,n
95,95,1048,3941.191,574.356,2288,5200,827.209,362.867,827.293,362.694,116.672,811,343,33,40,40.808,32.698,80.644,0.967,41.0,4130368,3936,-0.224,-0.372,100,4130368,1,823,383,77.32,33.0,1.248,0.801,0.981,2673,3e-06,n
96,96,97,3016.412,471.39,1936,3904,1276.706,359.902,1276.811,359.977,51.209,1273,348,6,24,21.707,5.69,90.484,0.465,24.021,292592,3104,-0.478,-0.463,100,292592,1,1278,348,92.386,6.0,3.815,0.262,0.911,2673,3e-06,n
97,97,999,3938.434,603.922,2048,5312,555.589,377.856,555.783,377.634,113.317,539,359,33,38,38.963,32.646,70.329,0.978,39.56,3934496,3968,-0.334,-0.315,100,3934496,1,548,396,69.274,33.0,1.193,0.838,0.986,2673,3e-06,n
98,98,1076,3045.472,571.091,1696,4480,96.964,382.224,97.079,381.937,120.492,77,363,38,39,44.313,30.917,133.626,0.931,45.453,3276928,2992,0.271,-0.456,100,3276928,1,83,365,129.644,31.113,1.433,0.698,0.976,2673,3e-06,n
99,99,817,3570.703,530.158,2096,4864,686.425,407.986,686.111,407.494,103.402,668,394,35,30,35.347,29.429,159.831,0.96,36.249,2917264,3632,-0.236,-0.361,100,2917264,1,669,400,155.556,30.0,1.201,0.833,0.983,2673,3e-06,n
100,100,894,3863.767,484.561,2224,4976,171.011,415.163,171.072,415.071,108.256,154,397,33,36,38.558,29.521,54.59,0.959,39.051,3454208,3904,-0.684,0.56,100,3454208,1,159,430,50.194,29.698,1.306,0.766,0.977,2673,3e-06,n
101,101,872,4157.468,643.887,2336,5648,612.589,412.925,612.849,413.044,105.753,595,397,34,32,34.535,32.149,160.189,0.98,35.0,3625312,4160,-0.228,-0.263,100,3625312,1,599,402,143.13,32.0,1.074,0.931,0.983,2673,3e-06,n
102,102,225,7453.156,2012.092,3248,10976,762.202,407.691,762.046,407.687,55.915,752,399,19,18,20.4,14.043,141.928,0.904,20.616,1676960,7680,-0.082,-1.159,100,1676960,1,753,402,140.906,14.758,1.453,0.688,0.938,2673,3e-06,n
103,103,852,2555.211,278.185,1760,3312,1088.025,432.14,1088.002,432.075,105.752,1074,414,28,37,38.101,28.471,95.604,0.957,38.328,2177040,2560,-0.103,-0.227,100,2177040,1,1082,414,105.124,28.0,1.338,0.747,0.987,2673,3e-06,n
104,104,895,3932.657,636.985,1968,5552,1213.374,438.034,1213.368,438.531,107.651,1198,420,31,37,37.575,30.327,74.397,0.971,38.079,3519728,3952,-0.316,-0.164,100,3519728,1,1206,456,66.801,30.674,1.239,0.807,0.984,2673,3e-06,n
105,105,333,5400.985,838.275,3120,6656,746.197,434.725,746.097,434.817,65.67,735,426,22,18,22.801,18.595,7.33,0.97,23.409,1798528,5632,-0.797,-0.411,100,1798528,1,735,438,19.983,18.0,1.226,0.816,0.984,2673,3e-06,n
106,106,868,3147.76,503.213,1856,4416,708.153,453.57,708.314,453.342,105.848,690,438,36,30,36.407,30.356,174.612,0.974,36.878,2732256,3136,-0.101,-0.624,100,2732256,1,690,450,167.471,30.0,1.199,0.834,0.985,2673,3e-06,n
